iter	Logloss
0	0.6238898917
1	0.5683865817
2	0.5208315806
3	0.479779209
4	0.444312938
5	0.4138540257
6	0.3876960198
7	0.364339392
8	0.3463930453
9	0.3295114355
10	0.3152152555
11	0.3028896159
12	0.292201019
13	0.2826482574
14	0.274148281
15	0.2659817632
16	0.2578858247
17	0.2526947069
18	0.2461468262
19	0.2415234936
20	0.2365147091
21	0.23174364
22	0.2281455023
23	0.2250347448
24	0.2215291371
25	0.2186638206
26	0.2156759938
27	0.2124543263
28	0.2100520187
29	0.2082077573
30	0.2061533842
31	0.204143057
32	0.2023310965
33	0.2007593188
34	0.1990608951
35	0.197490906
36	0.1959731073
37	0.194773496
38	0.193418395
39	0.1918570112
40	0.1910407808
41	0.1899128531
42	0.1892053511
43	0.1878217462
44	0.1866968882
45	0.1858108773
46	0.1849844498
47	0.1843356095
48	0.1830601259
49	0.1822416094
50	0.1816352778
51	0.1808071082
52	0.1801718822
53	0.1794724919
54	0.178780371
55	0.1779061199
56	0.1772314197
57	0.1763275718
58	0.1758400284
59	0.1751299767
60	0.1742073356
61	0.1737791506
62	0.1732975421
63	0.1726723487
64	0.1722032501
65	0.1714662472
66	0.1705619806
67	0.1698379018
68	0.1692952817
69	0.1684757894
70	0.1681114601
71	0.1675439849
72	0.1670193547
73	0.1662264219
74	0.1659428339
75	0.1654327949
76	0.1651453645
77	0.1645718785
78	0.1639529857
79	0.1633229899
80	0.1627128186
81	0.1620758274
82	0.1617910146
83	0.1613241507
84	0.160968876
85	0.1607090583
86	0.1604662442
87	0.1602347428
88	0.1598732608
89	0.1593279825
90	0.1590134841
91	0.1585053838
92	0.1583018193
93	0.1579495573
94	0.1574893041
95	0.1573027632
96	0.1568623207
97	0.1564816216
98	0.1561579008
99	0.1558246717
100	0.1554027923
101	0.155027633
102	0.1546230403
103	0.1543316058
104	0.1539970389
105	0.1537230002
106	0.1533642778
107	0.1530281896
108	0.1526812206
109	0.1523457757
110	0.1521279665
111	0.1517232196
112	0.1514831716
113	0.1510868307
114	0.1508489267
115	0.1506626188
116	0.1502742521
117	0.1499288688
118	0.149564872
119	0.149370218
120	0.1490514114
121	0.1487661425
122	0.1483967692
123	0.1481448518
124	0.1480304251
125	0.1477111175
126	0.147602445
127	0.1471372073
128	0.1468505579
129	0.1463783947
130	0.1461036336
131	0.1457017651
132	0.14541267
133	0.1451361533
134	0.1448193639
135	0.1444700149
136	0.1442727106
137	0.1441005973
138	0.1438202994
139	0.1434759026
140	0.1431469609
141	0.1428703617
142	0.1426816201
143	0.142331483
144	0.1420902453
145	0.1418103198
146	0.1415849572
147	0.1412990941
148	0.1409914228
149	0.1407033971
150	0.1403325112
151	0.1401815512
152	0.1399097251
153	0.1396305528
154	0.1395384068
155	0.1391180616
156	0.138784261
157	0.1385240877
158	0.1384266774
159	0.1382063349
160	0.1379699542
161	0.1377262474
162	0.1374944534
163	0.1372755333
164	0.1371095861
165	0.1370312667
166	0.1368214695
167	0.1365239889
168	0.1362515465
169	0.1359160308
170	0.1356135024
171	0.1353993634
172	0.1352309751
173	0.1349880218
174	0.1345333549
175	0.1341293073
176	0.1338722654
177	0.1336961774
178	0.1334593772
179	0.133273883
180	0.1330879238
181	0.1329073851
182	0.1326323034
183	0.1324196374
184	0.1322067722
185	0.1319719969
186	0.1316008491
187	0.1314278015
188	0.1312967364
189	0.1310467187
190	0.130866657
191	0.1307001746
192	0.1305320085
193	0.1302932958
194	0.1299937404
195	0.1297826072
196	0.1295501019
197	0.1292830399
198	0.1289671959
199	0.1287585553
200	0.1285194598
201	0.1283037603
202	0.1281003144
203	0.1279065155
204	0.1276431292
205	0.127407233
206	0.1271893903
207	0.1270499535
208	0.1268129976
209	0.1266373934
210	0.1263867643
211	0.1261605487
212	0.1259637218
213	0.125663649
214	0.1254632108
215	0.1253852018
216	0.1252959606
217	0.124948984
218	0.1247147486
219	0.1244749599
220	0.1243302973
221	0.1240774038
222	0.1239176231
223	0.1236865345
224	0.1234384841
225	0.1233108784
226	0.1230865255
227	0.1228312599
228	0.1225770744
229	0.1223379368
230	0.1222019769
231	0.1220383977
232	0.121908323
233	0.1217373653
234	0.1214964509
235	0.1213496363
236	0.1210804922
237	0.1209198347
238	0.120785698
239	0.1206221273
240	0.120456969
241	0.1203081173
242	0.1200673964
243	0.1199400395
244	0.1198175222
245	0.1196309192
246	0.1193979603
247	0.1192112004
248	0.1190749766
249	0.1189523513
250	0.1187331733
251	0.118533799
252	0.1183221135
253	0.1181453021
254	0.1179278484
255	0.1177799912
256	0.1176263668
257	0.117449594
258	0.1171327937
259	0.1169485453
260	0.1168162282
261	0.1166892303
262	0.1165456197
263	0.1164442625
264	0.116298328
265	0.116009308
266	0.1159280018
267	0.1157007017
268	0.1155370929
269	0.1153845005
270	0.1151922165
271	0.115097454
272	0.1150176551
273	0.114820276
274	0.1147019847
