iter	Passed	Remaining
0	43	43836
1	115	57425
2	196	65167
3	228	56923
4	254	50735
5	282	46801
6	311	44136
7	346	43023
8	374	41262
9	410	40671
10	443	39884
11	475	39147
12	512	38877
13	544	38331
14	573	37644
15	599	36887
16	628	36339
17	655	35745
18	682	35234
19	709	34778
20	739	34494
21	781	34758
22	809	34403
23	839	34143
24	865	33757
25	899	33687
26	933	33636
27	965	33521
28	1000	33511
29	1035	33484
30	1065	33306
31	1096	33180
32	1124	32940
33	1164	33089
34	1200	33095
35	1236	33113
36	1361	35430
37	1452	36767
38	1490	36727
39	1524	36592
40	1558	36455
41	1605	36618
42	1634	36376
43	1663	36137
44	1691	35894
45	1722	35724
46	1751	35506
47	1781	35340
48	1809	35126
49	1839	34942
50	1865	34704
51	1894	34538
52	1927	34442
53	1960	34353
54	2005	34465
55	2039	34376
56	2074	34315
57	2106	34219
58	2134	34046
59	2162	33882
60	2191	33734
61	2219	33574
62	2248	33440
63	2274	33271
64	2303	33136
65	2331	33000
66	2359	32852
67	2398	32875
68	2430	32788
69	2464	32746
70	2498	32687
71	2535	32680
72	2568	32621
73	2600	32544
74	2627	32401
75	2655	32285
76	2682	32150
77	2713	32069
78	2739	31938
79	2769	31846
80	2805	31832
81	2834	31732
82	2863	31639
83	2891	31533
84	2921	31449
85	2956	31416
86	2986	31339
87	3020	31302
88	3051	31238
89	3085	31194
90	3119	31160
91	3148	31075
92	3175	30968
93	3208	30929
94	3237	30841
95	3263	30731
96	3290	30634
97	3317	30538
98	3348	30476
99	3375	30381
100	3403	30296
101	3433	30230
102	3472	30237
103	3504	30194
104	3538	30158
105	3574	30144
106	3607	30108
107	3642	30082
108	3672	30020
109	3700	29942
110	3728	29862
111	3757	29790
112	3785	29715
113	3812	29633
114	3840	29558
115	3870	29493
116	3930	29665
117	3975	29715
118	4034	29871
119	4079	29919
120	4121	29944
121	4153	29891
122	4183	29829
123	4210	29742
124	4235	29650
125	4263	29576
126	4292	29506
127	4321	29441
128	4347	29355
129	4375	29282
130	4404	29219
131	4447	29248
132	4480	29209
133	4516	29190
134	4546	29130
135	4585	29131
136	4623	29123
137	4654	29074
138	4682	29006
139	4711	28943
140	4739	28875
141	4768	28811
142	4795	28740
143	4833	28730
144	4860	28657
145	4889	28599
146	4918	28540
147	4948	28487
148	4983	28462
149	5016	28428
150	5052	28407
151	5085	28374
152	5118	28333
153	5148	28285
154	5173	28204
155	5201	28143
156	5238	28130
157	5265	28061
158	5289	27978
159	5316	27913
160	5346	27859
161	5371	27787
162	5401	27735
163	5426	27664
164	5456	27614
165	5488	27572
166	5519	27529
167	5552	27497
168	5586	27468
169	5617	27426
170	5655	27416
171	5685	27368
172	5712	27308
173	5741	27254
174	5769	27200
175	5799	27151
176	5825	27088
177	5852	27025
178	5880	26973
179	5910	26924
180	5936	26860
181	5971	26838
182	6004	26807
183	6051	26834
184	6084	26804
185	6121	26790
186	6150	26742
187	6181	26697
188	6209	26645
189	6235	26582
190	6260	26517
191	6287	26461
192	6316	26411
193	6343	26356
194	6373	26312
195	6404	26270
196	6440	26253
197	6474	26225
198	6505	26187
199	6538	26155
200	6573	26131
201	6607	26101
202	6641	26075
203	6668	26020
204	6695	25964
205	6724	25919
206	6753	25870
207	6778	25809
208	6807	25763
209	6843	25744
210	6871	25695
211	6900	25648
212	6926	25591
213	6957	25554
214	6993	25533
215	7021	25485
216	7055	25456
217	7089	25432
218	7121	25395
219	7151	25354
220	7177	25300
221	7206	25254
222	7239	25224
223	7269	25183
224	7296	25132
225	7321	25074
226	7348	25023
227	7380	24989
228	7407	24938
229	7434	24890
230	7461	24840
231	7494	24809
232	7523	24767
233	7557	24739
234	7593	24718
235	7625	24684
236	7664	24676
237	7691	24625
238	7718	24577
239	7746	24531
240	7774	24486
241	7802	24440
242	7830	24392
243	7854	24336
244	7881	24288
245	7907	24237
246	7936	24195
247	7967	24160
248	8002	24135
249	8034	24102
250	8078	24106
251	8114	24085
252	8146	24051
253	8172	24003
254	8200	23958
255	8228	23915
256	8255	23866
257	8281	23816
258	8308	23771
259	8338	23732
260	8365	23685
261	8390	23635
262	8416	23584
263	8451	23562
264	8480	23520
265	8513	23491
266	8546	23461
267	8578	23430
268	8608	23394
269	8642	23367
270	8671	23326
271	8696	23274
272	8722	23228
273	8750	23185
274	8776	23138
275	8803	23093
276	8836	23065
277	8869	23034
278	8893	22984
279	8923	22945
280	8950	22901
281	8980	22864
282	9011	22830
283	9044	22801
284	9079	22777
285	9112	22748
286	9145	22720
287	9175	22684
288	9202	22640
289	9235	22611
290	9262	22568
291	9292	22531
292	9322	22494
293	9348	22449
294	9376	22407
295	9405	22369
296	9431	22325
297	9458	22282
298	9486	22240
299	9518	22210
300	9550	22179
301	9583	22150
302	9620	22130
303	9661	22120
304	9689	22079
305	9716	22036
306	9741	21990
307	9770	21952
308	9799	21913
309	9828	21877
310	9854	21832
311	9880	21787
312	9908	21747
313	9937	21709
314	9966	21673
315	9993	21632
316	10037	21625
317	10070	21598
318	10102	21566
319	10134	21536
320	10173	21519
321	10198	21474
322	10227	21437
323	10256	21398
324	10282	21356
325	10310	21316
326	10336	21274
327	10364	21235
328	10392	21195
329	10425	21166
330	10452	21125
331	10480	21087
332	10510	21051
333	10542	21021
334	10577	20996
335	10609	20965
336	10641	20936
337	10673	20905
338	10705	20873
339	10738	20845
340	10764	20803
341	10792	20764
342	10826	20738
343	10851	20692
344	10880	20656
345	10910	20623
346	10937	20582
347	10966	20546
348	10993	20506
349	11027	20479
350	11058	20446
351	11090	20416
352	11124	20389
353	11155	20357
354	11183	20318
355	11220	20297
356	11245	20254
357	11275	20220
358	11302	20181
359	11331	20145
360	11361	20111
361	11388	20072
362	11417	20035
363	11448	20002
364	11476	19965
365	11501	19923
366	11535	19896
367	11570	19871
368	11608	19850
369	11642	19823
370	11675	19795
371	11709	19766
372	11738	19731
373	11769	19699
374	11797	19662
375	11825	19625
376	11854	19590
377	11884	19555
378	11909	19513
379	11935	19474
380	11963	19437
381	11991	19399
382	12032	19383
383	12065	19354
384	12096	19323
385	12162	19347
386	12207	19335
387	12251	19323
388	12285	19296
389	12321	19271
390	12354	19242
391	12388	19214
392	12423	19187
393	12450	19149
394	12474	19106
395	12504	19073
396	12536	19041
397	12568	19010
398	12600	18980
399	12633	18950
400	12664	18918
401	12701	18894
402	12730	18859
403	12759	18822
404	12786	18784
405	12822	18759
406	12847	18719
407	12873	18678
408	12901	18642
409	12933	18611
410	12962	18576
411	12988	18537
412	13017	18502
413	13051	18474
414	13083	18443
415	13114	18410
416	13145	18378
417	13179	18350
418	13209	18316
419	13245	18290
420	13270	18251
421	13295	18210
422	13324	18175
423	13354	18141
424	13382	18106
425	13410	18068
426	13437	18032
427	13466	17996
428	13494	17960
429	13523	17925
430	13559	17900
431	13592	17871
432	13636	17856
433	13667	17824
434	13698	17791
435	13727	17757
436	13755	17721
437	13783	17686
438	13809	17647
439	13836	17609
440	13865	17575
441	13891	17537
442	13919	17501
443	13945	17463
444	13974	17429
445	14000	17390
446	14035	17364
447	14068	17334
448	14098	17300
449	14127	17267
450	14165	17243
451	14194	17209
452	14222	17173
453	14248	17135
454	14276	17100
455	14304	17065
456	14333	17030
457	14359	16993
458	14390	16961
459	14424	16933
460	14467	16915
461	14519	16908
462	14554	16880
463	14591	16855
464	14626	16828
465	14660	16799
466	14691	16768
467	14732	16746
468	14762	16713
469	14789	16677
470	14816	16641
471	14841	16602
472	14883	16582
473	14909	16544
474	14939	16511
475	14968	16477
476	14995	16441
477	15023	16406
478	15053	16373
479	15088	16346
480	15123	16318
481	15156	16288
482	15187	16256
483	15220	16226
484	15257	16201
485	15285	16166
486	15311	16129
487	15339	16093
488	15364	16055
489	15393	16021
490	15419	15984
491	15449	15951
492	15476	15916
493	15504	15881
494	15530	15844
495	15561	15812
496	15591	15779
497	15619	15745
498	15666	15728
499	15698	15698
500	15730	15667
501	15759	15634
502	15789	15601
503	15814	15563
504	15840	15527
505	15866	15490
506	15894	15455
507	15924	15422
508	15950	15386
509	15979	15352
510	16005	15316
511	16031	15279
512	16069	15254
513	16106	15228
514	16136	15196
515	16164	15162
516	16203	15137
517	16234	15106
518	16262	15072
519	16291	15038
520	16321	15005
521	16347	14969
522	16376	14935
523	16404	14901
524	16433	14868
525	16468	14840
526	16497	14806
527	16521	14769
528	16547	14733
529	16579	14702
530	16612	14672
531	16644	14642
532	16676	14611
533	16708	14580
534	16741	14550
535	16770	14517
536	16799	14484
537	16827	14450
538	16865	14425
539	16892	14390
540	16924	14358
541	16951	14324
542	16977	14288
543	17005	14254
544	17036	14223
545	17064	14188
546	17096	14158
547	17132	14131
548	17166	14101
549	17195	14068
550	17226	14037
551	17264	14011
552	17290	13976
553	17319	13943
554	17350	13911
555	17377	13876
556	17402	13840
557	17429	13806
558	17458	13773
559	17487	13739
560	17515	13706
561	17542	13671
562	17571	13639
563	17604	13609
564	17635	13577
565	17679	13556
566	17711	13525
567	17743	13495
568	17773	13462
569	17802	13429
570	17828	13395
571	17856	13361
572	17885	13328
573	17912	13294
574	17941	13261
575	17970	13228
576	17997	13193
577	18023	13159
578	18059	13131
579	18094	13102
580	18126	13072
581	18156	13040
582	18195	13014
583	18227	12984
584	18261	12954
585	18287	12919
586	18316	12887
587	18343	12852
588	18371	12819
589	18398	12785
590	18424	12750
591	18458	12721
592	18486	12688
593	18512	12653
594	18541	12620
595	18568	12586
596	18601	12556
597	18637	12529
598	18671	12499
599	18705	12470
600	18740	12441
601	18773	12411
602	18801	12378
603	18831	12346
604	18866	12318
605	18893	12283
606	18920	12250
607	18949	12217
608	18975	12182
609	19001	12148
610	19030	12115
611	19058	12082
612	19085	12049
613	19119	12019
614	19153	11990
615	19186	11960
616	19218	11929
617	19261	11906
618	19292	11874
619	19321	11842
620	19350	11809
621	19377	11776
622	19406	11743
623	19433	11710
624	19460	11676
625	19488	11642
626	19516	11610
627	19541	11575
628	19569	11542
629	19600	11511
630	19646	11489
631	19681	11460
632	19715	11430
633	19749	11400
634	19783	11371
635	19811	11338
636	19837	11304
637	19863	11270
638	19890	11237
639	19919	11204
640	19946	11171
641	19973	11137
642	20004	11106
643	20039	11077
644	20068	11045
645	20098	11013
646	20132	10984
647	20162	10952
648	20193	10921
649	20224	10889
650	20254	10858
651	20285	10827
652	20313	10794
653	20338	10760
654	20368	10728
655	20432	10714
656	20469	10686
657	20503	10656
658	20541	10629
659	20575	10599
660	20610	10570
661	20647	10541
662	20684	10513
663	20716	10482
664	20748	10452
665	20781	10421
666	20809	10389
667	20848	10361
668	20875	10328
669	20902	10295
670	20931	10262
671	20958	10229
672	20983	10195
673	21009	10162
674	21039	10129
675	21064	10095
676	21091	10062
677	21123	10032
678	21156	10001
679	21185	9969
680	21229	9944
681	21264	9914
682	21298	9885
683	21326	9852
684	21354	9819
685	21382	9787
686	21408	9754
687	21436	9721
688	21467	9690
689	21495	9657
690	21521	9624
691	21547	9590
692	21574	9557
693	21602	9525
694	21643	9498
695	21679	9469
696	21710	9437
697	21740	9406
698	21776	9377
699	21809	9346
700	21836	9313
701	21863	9281
702	21893	9249
703	21921	9217
704	21947	9183
705	21976	9151
706	22004	9119
707	22041	9090
708	22069	9058
709	22096	9025
710	22126	8993
711	22159	8963
712	22191	8932
713	22225	8902
714	22255	8871
715	22291	8841
716	22319	8809
717	22345	8776
718	22371	8743
719	22398	8710
720	22434	8681
721	22461	8648
722	22490	8616
723	22516	8583
724	22542	8550
725	22571	8518
726	22599	8486
727	22630	8455
728	22664	8425
729	22695	8394
730	22728	8363
731	22762	8333
732	22793	8302
733	22833	8274
734	22863	8243
735	22893	8211
736	22919	8178
737	22948	8147
738	22978	8115
739	23002	8082
740	23027	8048
741	23053	8015
742	23080	7983
743	23107	7951
744	23135	7918
745	23170	7889
746	23213	7862
747	23243	7830
748	23273	7799
749	23306	7768
750	23331	7735
751	23361	7704
752	23389	7672
753	23417	7640
754	23444	7607
755	23472	7575
756	23499	7543
757	23525	7510
